City_ID,City,Country,Max Temp,Current Descritpion,Lat,Lng,Hotel Name
427,Birsk,RU,60.75,clear sky,55.4211,55.5428,Kvartiry Posutochno V Birske
430,Faanui,PF,79.95,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
431,Quatre Cocos,MU,74.08,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
432,Kununurra,AU,60.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
435,Idar,DE,64.72,overcast clouds,49.7167,7.3,Diamanthotel-Handelshof
436,Vytegra,RU,51.55,broken clouds,61.0064,36.4481,Wardenclyffe Volgo&Balt
437,Isangel,VU,70.09,broken clouds,-19.55,169.2667,Tanna Lodge
438,Abadzekhskaya,RU,64.26,scattered clouds,44.3939,40.2214,Lukomor'ye
440,Tual,ID,81.32,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
442,Lodja,CD,81.41,overcast clouds,-3.4833,23.4333,
443,Padang,ID,77.54,overcast clouds,-0.9492,100.3543,Mercure Padang
445,Emba,KZ,76.96,broken clouds,48.8264,58.1442,
446,Cancun,MX,87.73,broken clouds,21.1743,-86.8466,Hotel Tankah Cancun
