City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descritpion
292,Okha,RU,53.5739,142.9478,33.33,87,28,8.1,scattered clouds
293,Cabedelo,BR,-6.9811,-34.8339,81.27,82,94,18.37,overcast clouds
294,Berlevag,NO,70.8578,29.0864,35.6,69,75,24.16,broken clouds
295,Lorengau,PG,-2.0226,147.2712,80.67,81,82,6.46,broken clouds
296,Newport,GB,51.5877,-2.9984,64.4,89,100,7.07,overcast clouds
297,Grand Gaube,MU,-20.0064,57.6608,74.37,78,14,4.0,few clouds
298,Caxito,AO,-8.5785,13.6643,83.05,76,51,5.5,broken clouds
299,Vilyuysk,RU,63.7553,121.6247,50.31,67,12,5.68,few clouds
300,Ca Mau,VN,9.1769,105.15,78.58,90,30,3.65,scattered clouds
301,Lavrentiya,RU,65.5833,-171.0,28.44,88,8,10.98,clear sky
302,Lebork,PL,54.5392,17.7501,57.74,70,66,8.57,broken clouds
303,Capaci,IT,38.1711,13.2393,75.11,63,0,11.21,clear sky
304,Kieta,PG,-6.2167,155.6333,76.17,93,100,0.51,moderate rain
305,Paamiut,GL,61.994,-49.6678,41.88,72,89,2.59,overcast clouds
306,Bahir Dar,ET,11.5936,37.3908,75.31,46,69,3.91,broken clouds
307,Ilheus,BR,-14.7889,-39.0494,85.82,62,20,6.91,few clouds
308,Tahoua,NE,14.8888,5.2692,103.98,13,20,4.61,few clouds
309,Victoria,HK,22.2855,114.1577,86.97,83,63,1.01,broken clouds
310,Kulhudhuffushi,MV,6.6221,73.07,83.8,74,4,21.68,clear sky
311,Sarangarh,IN,21.6,83.0833,87.98,45,61,7.14,broken clouds
312,Chunoyar,RU,57.4467,97.3217,37.27,94,100,10.16,overcast clouds
313,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,93,96,1.81,overcast clouds
314,Nelson Bay,AU,-32.7167,152.15,54.1,71,95,5.01,light rain
315,Plouzane,FR,48.3833,-4.6167,69.89,62,0,7.63,clear sky
316,Goundam,ML,16.4145,-3.6708,107.19,10,92,12.24,overcast clouds
317,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.96,49,75,24.16,broken clouds
318,Sitka,US,57.0531,-135.33,46.29,87,90,5.75,light rain
319,Nome,US,64.5011,-165.4064,50.07,27,1,14.97,clear sky
320,Berdigestyakh,RU,62.0989,126.6992,45.86,77,53,4.25,broken clouds
321,Olafsvik,IS,64.8945,-23.7142,51.39,73,100,27.72,heavy intensity rain
322,Vrangel,RU,42.7297,133.0839,49.39,95,100,4.68,moderate rain
323,Gospic,HR,44.5461,15.3747,65.89,61,66,5.59,broken clouds
324,Iskateley,RU,67.6803,53.1512,42.69,70,99,9.26,overcast clouds
325,Praya,CV,14.9215,-23.5087,79.34,57,20,23.02,few clouds
